Artist ID,Artist Name,Artist Slug,Nationality,Birth Year,Artist Website,Instagram,Gallery ID,Gallery Name,Gallery Slug,City,Country,Gallery Type,Gallery Website,Representation Type
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,primary
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,9,Luhring Augustine,luhring-augustine,,,commercial,,secondary/estate
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,secondary/estate
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,secondary/estate
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,primary
,,,,,,,3,Magenta Plains,magenta-plains,,,commercial,,secondary/estate
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
22,Sarah Sze,sarah-sze,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
,,,,,,,,,,,,,,primary
