id,name,slug,nationality,birth_year,website,instagram,instagram_followers,galleries_exhibited,cv_url
,Aaron Aujla,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Aaron Bobrow,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Aaron Garber-Maikovska,,,,,,,CLEARING-NewYork,
7,Ada Friedman,ada-friedman,,,,,,,
,Adam Alessi,,,,,,,CLEARING-NewYork,
,Adriana Furlong,,,,,,,Island,
,Aki Goto,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork, Europa",
,Al Freeman,,,,,,,"56 Henry, International Waters",
,Alan Schmalz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Albert Oehlen,,,,,,,Luhring Augustine,
,Alex Callender,,,,,,,Island,
,Alex Kwartler,,,,https://alexkwartler.com,https://www.instagram.com/albert_cortzbar,,Magenta Plains,https://alexkwartler.com/cv
,Alexandra Rubinstein,,,,,,,IRL Gallery NYC,
,Alfred d'Ursel,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Allison Katz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Almendra Bertoni,,,,,,,IRL Gallery NYC,
,Amalia Pica,,,,,,,Tanya Bonakdar Gallery,
,Amanda van Hesteren,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
53,Amir Badawi,amir-badawi,,,,,,,
63,Amy Greco,amy-greco,,,,,,,
,Ana Cristina,,,,,,,Europa,
,Ana Won,,,,,,,IRL Gallery NYC,
,Analia Saban,,,,https://analiasabanstudio.com,https://www.instagram.com/askunst/?hl=en,,"Tanya Bonakdar Gallery, Gemini G.E.L., Tanya Bonakdar Gallery, Sprüth Magers, Galerie Praz-Delavallade, Galerie Sprüth Magers, Arario Gallery",https://analiasabanstudio.com/cv
,Anderson Borba,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Andrei Pokrovskii,,,,,,,IRL Gallery NYC,
28,Andrew Erdos,andrew-erdos,,,,,,,
,Andrew LaMar Hopkins,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Andrew Luk,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Andy Kincaid,,,,,,,International Waters,
,Andy Ralph,,,,,,,International Waters,
,Andy Warhol,,,,,,,56 Henry,
,Anna Ruth,,,,,,,IRL Gallery NYC,
,Anna Weyant,,,,,,,"56 Henry, CLEARING-NewYork",
